# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006042-1
# text = Tukulti-Ninurta šarru rabû x
1	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	_
2	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	2:amod	GAL
4	x	_	NOUN	u	_	1	appos	1:appos	x

# sent_id = Q006042-2
# text = x šarru rabû x
1	x	_	PROPN	u	Gender=M	0	root	0:root	x
2	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	2:amod	GAL
4	x	_	NOUN	u	_	1	appos	1:appos	x

# sent_id = Q006042-3
# text = x šarru rabû x
1	x	_	PROPN	u	Gender=M	0	root	0:root	x
2	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	2:amod	GAL
4	x	_	NOUN	u	_	1	appos	1:appos	x

