# text = maddattu ša {m}x-x kaspī hurāṣī annakī erî taphī erî x x x erî x x x.MEŠ lubultī birmē u kitê amhur
1	maddattu	maddattu	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Nom	21	dobj	_	_
2	ša	ša	ADP	ADP	_	3	case	_	_
3	{m}x-x	{m}x-x	PROPN	PROPN	_	1	nmod	_	_
4	kaspī	kaspī	NOUN	NOUN	Number=Pl|Gender=M	_	_	_	_
5	hurāṣī	hurāṣī	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
6	annakī	annakī	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
7	erî	erî	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
8	taphī	taphī	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
9	erî	erî	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Gen	8	nmod_poss	_	_
10	x	x	X	X	_	_	_	_	_
11	x	x	X	X	_	_	_	_	_
12	x	x	NOUN	NOUN	_	4	nmod_poss	_	_
13	erî	erî	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Gen	12	nmod_poss	_	_
14	x	x	X	X	_	_	_	_	_
15	x	x	X	X	_	_	_	_	_
16	x.MEŠ	x.MEŠ	_	_	_	_	_	_	_
17	lubultī	lubultī	NOUN	NOUN	Number=Pl|Gender=F	4	list	_	_
18	birmē	birmē	NOUN	NOUN	Number=Pl|Gender=M	17	nmod_poss	_	_
19	u	u	CONJ	CONJ	_	20	cc	_	_
20	kitê	kitê	NOUN	NOUN	Number=Pl|Gender=M	18	conj	_	_
21	amhur	amhur	VERB	VERB	Number=Sg|Verb_stem=G|Tense=preterit|Mood=indicative|Person=1	_	_	_	_

