# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006041-1
# text = kišādu ša Tukulti-Ninurta šar māt Aššur mār Adad-nerari šar māt Aššur
1	kišādu	kišādu	NOUN	N	Case=Nom|Nounbase=Free|Number=Sg|Gender=M	_	_	_	{NA₄}GU₂
2	ša	ša	ADP	DET	_	3	case	_	ša₂
3	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	1	nmod	_	{m}TUKUL-MAŠ
4	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	3	appos	_	MAN
5	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	4	nmod:poss	_	KUR
6	Aššur	Aššur	PROPN	GN	Gender=M	5	nmod:poss	_	AŠ
7	mār	māru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	3	appos	_	A
8	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	7	nmod:poss	_	10-ERIM.TAH₂
9	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	8	appos	_	MAN
10	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	9	nmod:poss	_	KUR
11	Aššur	Aššur	PROPN	GN	Gender=M	10	nmod:poss	_	AŠ
