# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006042-1
# text = Tukulti-Ninurta šarru rabû x x šarru rabû x x šarru rabû x
1	Tukulti-Ninurta	_	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	_
2	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
3	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	2:amod	GAL
4	x	_	NOUN	u	_	1	appos	1:appos	x
5	x	_	PROPN	u	Gender=M	0	root	0:root	x
6	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	5	appos	5:appos	MAN
7	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	6	amod	6:amod	GAL
8	x	_	NOUN	u	_	5	appos	5:appos	x
9	x	_	PROPN	u	Gender=M	0	root	0:root	x
10	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	9	appos	9:appos	MAN
11	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	10	amod	10:amod	GAL
12	x	_	NOUN	u	_	9	appos	9:appos	x

