# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004571-1
# text = Aššur-naṣir-apli šar māt Aššur mār Tukulti-Ninurta šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}AŠ-PAP-A
2	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	MAN
3	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	2	nmod:poss	_	KUR
4	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	3	nmod:poss	_	AŠ
5	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	A
6	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	5	nmod:poss	_	TUKUL-MAŠ
7	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	6	appos	_	MAN
8	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	7	nmod:poss	_	KUR
9-10	Aššurma	_	_	_	_	_	_	_	_
9	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	8	nmod:poss	_	AŠ-ma
10	ma	_	PART	_	_	9	det	_	_
