1	maddattu	_	_	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Nom	21	dobj	_	_
2	ša	_	_	ADP	_	3	case	_	_
3	{m}x-x	_	_	PROPN	_	1	nmod	_	_
4	kaspī	_	_	NOUN	Number=Pl|Gender=M	_	_	_	_
5	hurāṣī	_	_	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
6	annakī	_	_	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
7	erî	_	_	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
8	taphī	_	_	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
9	erîm	_	_	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Gen	8	nmod_poss	_	form=erî
10	x	_	_	_	_	_	_	_	_
11	x	_	_	_	_	_	_	_	_
12	x	_	_	NOUN	_	4	nmod_poss	_	_
13	erîm	_	_	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Gen	12	nmod_poss	_	form=erî
14	x	_	_	_	_	_	_	_	_
15	x	_	_	_	_	_	_	_	_
16	x.MEŠ	_	_	_	_	_	_	_	_
17	lubultī	_	_	NOUN	Number=Pl|Gender=F	4	list	_	_
18	birmē	_	_	NOUN	Number=Pl|Gender=M	17	nmod_poss	_	_
19	u	_	_	CONJ	_	20	cc	_	_
20	kitê	_	_	NOUN	Number=Pl|Gender=M	18	conj	_	_
21	amhur	_	_	VERB	Number=Sg|Verb_stem=G|Tense=preterit|Mood=indicative|Person=1	_	_	_	_
