# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004503-1
# text = Aššur-naṣir-apli šarru dannu šarru x x šar kiššati lā šanān x x rubû naʾdu
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	0	root	0:root	{m}aš-šur-PAP-A
2	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	1	appos	1:appos	MAN
3	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	2	amod	2:amod	dan-nu
4	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	1	appos	1:appos	MAN
5	x	_	X	u	_	_	_	_	x
6	x	_	X	u	_	_	_	_	x
7	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	MAN
8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	7	nmod:poss	7:nmod:poss	KIŠ
9	lā šanān	lā|šanānu	ADJ	MOD|V	Case=Gen|Gender=Masc|Number=Sing	7	amod	7:amod	la|ša₂-na-an
10	x	_	X	u	_	_	_	_	x
11	x	_	X	u	_	_	_	_	x
12	rubû	rubû	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	1	appos	1:appos	NUN-u₂
13	naʾdu	naʾdu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	12	amod	12:amod	na-a-du

# sent_id = Q004503-2
# text = ša x x šamê erṣeti
1	ša	ša	PRON	DET	_	_	_	_	ša₂
2	x	_	X	u	_	_	_	_	x
3	x	_	X	u	_	_	_	_	x
4	šamê	šamû	NOUN	N	Gender=Masc|Number=Plur	0	root	0:root	AN-e
5	erṣeti	erṣetu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	4	conj	4:conj	_

# sent_id = Q004503-3
# text = i-x x lā māgirīšu
1	i-x	_	X	u	_	_	_	_	i-x
2	x	_	X	u	_	_	_	_	x
3-4	lā māgirīšu	_	_	_	_	_	_	_	_
3	lā māgirī	lā|māgiru	NOUN	MOD|N	Gender=Masc|NounBase=Suffixal|Number=Plur	0	root	0:root	la|ma-gi-ri-šu₂
4	šu	_	PRON	_	Gender=Masc|Number=Sing|Person=3	3	det:poss	3:det:poss	_

# sent_id = Q004503-4
# text = x x šangû ṣīru
1	x	_	X	u	_	_	_	_	x
2	x	_	X	u	_	_	_	_	x
3	šangû	šangû	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	0	root	0:root	SANGA-u₂
4	ṣīru	ṣīru	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	3:amod	ṣi-ru

# sent_id = Q004503-5
# text = x Aššur Adad
1	x	_	X	u	_	_	_	_	x
2	Aššur	Aššur	PROPN	DN	Gender=Masc	0	root	0:root	aš-šur
3	Adad	Adad	PROPN	DN	Gender=Masc	2	conj	2:conj	{d}IŠKUR

# sent_id = Q004503-6
# text = x šangûssu ina x rēʾû
1	x	_	X	u	_	_	_	_	x
2-3	šangûssu	_	_	_	_	_	_	_	_
2	šangûs	šangûtu	NOUN	N	Gender=Fem|NounBase=Suffixal|Number=Sing	0	root	0:root	SANGA-su
3	su	_	PRON	_	Gender=Masc|Number=Sing|Person=3	2	det:poss	2:det:poss	_
4	ina	ina	ADP	PRP	_	_	_	_	i-na
5	x	_	X	u	_	_	_	_	x
6	rēʾû	rēʾû	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	{LU₂}SIPA

# sent_id = Q004503-7
# text = x na-x x x x x x zunnī x x x x x luddiš šumī šaṭra
1	x	_	X	u	_	_	_	_	x
2	na-x	_	X	u	_	_	_	_	na-x
3	x	_	X	u	_	_	_	_	x
4	x	_	X	u	_	_	_	_	x
5	x	_	X	u	_	_	_	_	x
6	x	_	X	u	_	_	_	_	x
7	x	_	X	u	_	_	_	_	x
8	zunnī	zunnu	NOUN	N	Gender=Masc|Number=Plur	_	_	_	ŠEG₃.MEŠ
9	x	_	X	u	_	_	_	_	x
10	x	_	X	u	_	_	_	_	x
11	x	_	X	u	_	_	_	_	x
12	x	_	X	u	_	_	_	_	x
13	x	_	X	u	_	_	_	_	x
14	luddiš	edēšu	VERB	V	Gender=Masc|Mood=Prec|Number=Sing|Person=3|VerbForm=Fin|VerbStem=D	_	_	_	lu-ud-diš
15-16	šumī	_	_	_	_	_	_	_	_
15	šum	šumu	NOUN	N	Gender=Masc|NounBase=Suffixal|Number=Sing	0	root	0:root	MU
16	ī	_	PRON	_	Number=Sing|Person=1	15	det:poss	15:det:poss	_
17	šaṭra	šaṭru	ADJ	AJ	Case=Acc|Gender=Masc|Number=Sing	15	amod	15:amod	šaṭ-ra

# sent_id = Q004503-8
# text = x Aššur Adad bēlē x ša šumī šaṭra ipaššiṭu x Ištar ilāni rabûti x
1	x	_	X	u	_	_	_	_	x
2	Aššur	Aššur	PROPN	DN	Gender=Masc	15	nsubj	15:nsubj	aš-šur
3	Adad	Adad	PROPN	DN	Gender=Masc	2	conj	2:conj	{d}IŠKUR
4	bēlē	bēlu	NOUN	N	Gender=Masc|Number=Plur	2	appos	2:appos	_
5	x	_	X	u	_	4	nmod:poss	4:nmod:poss	x
6	ša	ša	PRON	REL	_	15	obj	15:obj	ša₂
7-8	šumī	_	_	_	_	_	_	_	_
7	šum	šumu	NOUN	N	Gender=Masc|NounBase=Suffixal|Number=Sing	10	obj	10:obj	MU
8	ī	_	PRON	_	Number=Sing|Person=1	7	det:poss	7:det:poss	_
9	šaṭra	šaṭru	ADJ	AJ	Case=Acc|Gender=Masc|Number=Sing	7	amod	7:amod	šaṭ-ra
