# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004570-1
# text = Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur ma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	_	_	_	{m}AŠ-PAP-A
2	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	1	appos	_	MAN
3	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	2	nmod:poss	_	ŠU₂
4	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	1	appos	_	MAN
5	māt	mātu	NOUN	N	Gender=F|Number=Sg|Nounbase=Bound	4	nmod:poss	_	KUR
6	Aššur	Aššur	PROPN	GN	Gender=M	5	nmod:poss	_	AŠ
7	mār	māru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	1	appos	_	A
8	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	7	nmod:poss	_	{m}TUKUL-MAŠ
9	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	8	appos	_	MAN
10	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	9	nmod:poss	_	ŠU₂
11	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	8	appos	_	MAN
12	māt	mātu	NOUN	N	Gender=F|Number=Sg|Nounbase=Bound	11	nmod:poss	_	KUR
13	Aššur	Aššur	PROPN	GN	Gender=M	12	nmod:poss	_	AŠ
14	mār	māru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	8	appos	_	A
15	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	14	nmod:poss	_	{m}10-ERIM.TAH₂
16	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	15	appos	_	MAN
17	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	16	nmod:poss	_	ŠU₂
18	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	15	appos	_	MAN
19	māt	mātu	NOUN	N	Gender=F|Number=Sg|Nounbase=Bound	18	nmod:poss	_	KUR
20-21	Aššurma	_	_	_	_	_	_	_	_
20	Aššur	Aššur	PROPN	GN	Gender=M	19	nmod:poss	_	AŠ-ma
21	ma	_	_	PART	_	20	det	_	_
