# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
2	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	LUGAL
3	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	2:amod	dan-nu
4	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	LUGAL
5	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	4	nmod:poss	4:nmod:poss	KIŠ
6	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	LUGAL
7	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	6	nmod:poss	6:nmod:poss	KUR
8	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	7	nmod:poss	7:nmod:poss	aš-šur
9	nibīt	nibītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	1	appos	1:appos	ni-bit
10	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	9	nmod:poss	9:nmod:poss	aš-šur
11	ša	ša	PRON	REL	_	_	_	_	ša
12	x	_	X	u	_	_	_	_	x
13	ultu	ištu	ADP	PRP	_	14	case	14:case	ul-tu
14	ulla	ulla	ADV	AV	_	18	obl	18:obl	ul-la-a
15	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	18	nsubj	18:nsubj	aš-šur
16-17	šumšu	_	_	_	_	_	_	_	_
16	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	18	obj	18:obj	MU-šu
17	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	16	det	16:det	_
18	ibbû	nabû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	1	acl:relcl	1:acl:relcl	ib-bu-u₂
19	ša	ša	PRON	DET	_	_	_	_	ša
20	x	_	X	u	_	_	_	_	x
21	u	u	CCONJ	CNJ	_	_	_	_	u₃
22	agâ	agû	NOUN	N	Case=Acc|Gender=M|Nounbase=Free|Number=Sg	24	obj	24:obj	a-ga-a
23	ṣīru	ṣīru	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	22	amod	22:amod	ṣi-i-ru
24	ušatmehu	tamāhu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=S	18	conj	18:conj	u₂-šat-me-hu
25	ša	ša	PRON	DET	_	33	obj	33:obj	ša
26	x	_	X	u	_	_	_	_	x
27	ana	ana	ADP	PRP	_	28	case	28:case	a-na
28	šarrūt	šarrūtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	33	obl	33:obl	MAN-ut
29	x	_	X	u	_	_	_	_	x
30	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	28	nmod:poss	28:nmod:poss	KUR
31	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	30	nmod:poss	30:nmod:poss	aš-šur
32	rabîš	rabîš	ADV	AV	_	33	advmod	33:advmod	ra-bi-iš
33-34	ukīnušu	_	_	_	_	_	_	_	_
33	ukīnu	kânu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=D	18	conj	18:conj	u₂-kin₂-nu-šu
34	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	33	obj	33:obj	_
35	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	DUMU
36	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_II	PROPN	RN	Case=Undefined|Gender=M	35	nmod:poss	35:nmod:poss	{GIŠ}tukul-ti-A-e₂-šar₂-ra
37	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	36	appos	36:appos	LUGAL
38	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	37	nmod:poss	37:nmod:poss	KIŠ
39	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	36	appos	36:appos	LUGAL
40	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	39	nmod:poss	39:nmod:poss	KUR
41	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	40	nmod:poss	40:nmod:poss	aš-šur
42	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	36	appos	36:appos	DUMU
43	Aššur-reša-iši	Aššur-reša-iši_II	PROPN	RN	Case=Undefined|Gender=M	42	nmod:poss	42:nmod:poss	aš-šur-SAG-i-ši
44	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	43	appos	43:appos	MAN
45	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	44	nmod:poss	44:nmod:poss	KIŠ
46	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	43	appos	43:appos	MAN
47	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	46	nmod:poss	46:nmod:poss	KUR
48-49	Aššurma	_	_	_	_	_	_	_	_
48	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	47	nmod:poss	47:nmod:poss	aš-šur-ma
49	ma	_	PART	_	_	48	det	48:det	_

# sent_id = Q006013-2
# text = ina šurrat šarrūtiya ina mahrê palêya ša ina kussî šarrūte rabîš ūšibu x ṣābē Iausaya ēliʾū
1	ina	ina	ADP	PRP	_	2	case	2:case	i-na
2	šurrat	šurrû	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Pl	18	obl	18:obl	šur-rat
3-4	šarrūtiya	_	_	_	_	_	_	_	_
3	šarrūti	šarrūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	2	nmod:poss	2:nmod:poss	MAN-ti-ia
4	ya	_	PRON	_	Number=Sg|Person=1	3	det	3:det	_
