# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006014-1
# text = kullat mārīšunu mārātišunu
1	kullat	kullatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	kul₂-la-at
2-3	mārīšunu	_	_	_	_	_	_	_	_
2	mārī	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	1	nmod:poss	1:nmod:poss	DUMU.MEŠ-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	2:det	_
4-5	mārātišunu	_	_	_	_	_	_	_	_
4	mārāti	mārtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	2	conj	2:conj	DUMU.MUNUS.MEŠ-šu-nu
5	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	4	det	4:det	_

# sent_id = Q006014-2
# text = ana kaspī ipšurūni ina siqir Aššur bēliya ana hubtāni lū ahtabta
1	ana	ana	ADP	PRP	_	2	case	2:case	a-na
2	kaspī	kaspu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	3	obl	3:obl	KU₃.BABBAR.MEŠ
3	ipšurūni	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	12	advcl	12:advcl	_
4	ina	ina	ADP	PRP	_	5	case	5:case	i-na
5	siqir	zikru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	obl	11:obl	si-qir
6	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	5	nmod:poss	5:nmod:poss	aš-šur
7-8	bēliya	_	_	_	_	_	_	_	_
7	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	6	appos	6:appos	EN-ia
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	7:det	_
9	ana	ana	ADP	PRP	_	10	case	10:case	a-na
10	hubtāni	hubtu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	12	obl	12:obl	hu-ub-ta-ni
11	lū	lū	PART	MOD	_	12	advmod:emph	12:advmod:emph	lu
12	ahtabta	habātu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Perfect|Ventive=Yes|Verbstem=G	0	root	0:root	ah-tab-ta

# sent_id = Q006014-3
# text = dīktašunu maʾatta x adūk šallassunu būšīšunu makkūršunu alpīšunu ṣēnīšunu ašlulma ana āliya Aššur ubla x
1-2	dīktašunu	_	_	_	_	_	_	_	_
1	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	5	obj	5:obj	di-ik-ta-šu₂-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	1	amod	1:amod	ma-ʾa-at-ta
4	x	_	X	u	_	_	_	_	x
5	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
6-7	šallassunu	_	_	_	_	_	_	_	_
