# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004582-1
# text = Aššur-naṣir-apli šar māt Aššur mār Tukulti-Ninurta šar māt Aššur mār Adad-nerari šar māt Aššur ma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	_	_	_	{m}aš-šur-PAP-A
2	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	MAN
3	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	7	nmod:poss	_	KUR
4	Aššur	Aššur	PROPN	GN	Gender=M	3	nmod:poss	_	AŠ
5	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	1	appos	_	A
6	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	5	nmod:poss	_	TUKUL-MAŠ
7	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	6	appos	_	MAN
8	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	7	nmod:poss	_	KUR
9	Aššur	Aššur	PROPN	GN	Gender=M	8	nmod:poss	_	AŠ
10	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	6	appos	_	A
11	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	10	nmod:poss	_	10-ERIM.TAH₂
12	šar	_	NOUN	_	Nounbase=Bound|Number=Sg|Gender=M	11	appos	_	_
13	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	12	nmod:poss	_	KUR
14-15	Aššurma	_	_	_	_	_	_	_	_
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	AŠ-ma
15	ma	_	_	PART	_	14	det	_	_
