# text = kišādu ša Tukulti-Ninurta šar māt Aššur mār Adad-nerari šar māt Aššur
1	kišādu	kišādu	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	_	_	_	_
2	ša	ša	ADP	ADP	_	3	case	_	_
3	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	1	nmod	_	_
4	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	3	appos	_	_
5	māt	māt	NOUN	NOUN	Number=Sg|Gender=F|Noun_base=bound	4	nmod_poss	_	_
6	Aššur	Aššur	PROPN	PROPN	Gender=M	5	nmod_poss	_	_
7	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	3	appos	_	_
8	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	7	nmod_poss	_	_
9	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	8	appos	_	_
10	māt	māt	NOUN	NOUN	Number=Sg|Gender=F|Noun_base=bound	9	nmod_poss	_	_
11	Aššur	Aššur	PROPN	PROPN	Gender=M	10	nmod_poss	_	_

