# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006041-1
# text = kišādu ša Tukulti-Ninurta šar māt Aššur mār Adad-nerari šar māt Aššur
1	kišādu	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	0	root	0:root	{NA₄}GU₂
2	ša	_	ADP	DET	_	3	case	3:case	ša₂
3	Tukulti-Ninurta	_	PROPN	RN	Case=Undefined|Gender=M	1	nmod	1:nmod	{m}TUKUL-MAŠ
4	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	3	appos	3:appos	MAN
5	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	4	nmod:poss	4:nmod:poss	KUR
6	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	5	nmod:poss	5:nmod:poss	AŠ
7	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	3	appos	3:appos	A
8	Adad-nerari	_	PROPN	RN	Case=Undefined|Gender=M	7	nmod:poss	7:nmod:poss	10-ERIM.TAH₂
9	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	8	appos	8:appos	MAN
10	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	nmod:poss	9:nmod:poss	KUR
11	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	AŠ

