# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004529-1
# text = maddattu ša {m}x hurāṣī annakī erî parzillī x taphi erî x.MEŠ erî x amhur
1	maddattu	maddattu	NOUN	N	Case=Nom|Gender=Fem|Nounbase=Free|Number=Sing	14	obj	14:obj	ma-da-tu₂
2	ša	ša	ADP	DET	_	3	case	3:case	ša₂
3	{m}x	_	PROPN	u	_	1	nmod	1:nmod	{m}x
4	hurāṣī	hurāṣu	NOUN	N	Gender=Masc|Number=Plur	1	appos	1:appos	KU₃.GI.MEŠ
5	annakī	annaku	NOUN	N	Gender=Masc|Number=Plur	4	conj	4:conj	AN.NA.MEŠ
6	erî	werû	NOUN	N	Gender=Masc|Number=Plur	4	conj	4:conj	URUDU.MEŠ
7	parzillī	parzillu	NOUN	N	Gender=Masc|Number=Plur	4	conj	4:conj	AN.BAR.MEŠ
8	x	_	X	u	_	4	conj	4:conj	x
9	taphi	taphu	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	4	conj	4:conj	tap-hi
10	erî	werû	NOUN	N	Case=Gen|Gender=Masc|Nounbase=Free|Number=Sing	9	nmod:poss	9:nmod:poss	_
11	x.MEŠ	_	NOUN	u	Number=Plur	4	conj	4:conj	x.MEŠ
12	erî	werû	NOUN	N	Case=Gen|Gender=Masc|Nounbase=Free|Number=Sing	11	nmod:poss	11:nmod:poss	_
13	x	_	X	u	_	4	conj	4:conj	x
14	amhur	mahāru	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|Verbstem=G	0	root	0:root	am-hur

