# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004529-1
# text = maddattu ša {m}x hurāṣī annakī erî parzillī x taphi erî x.MEŠ erî x amhur
1	maddattu	maddattu	NOUN	N	Case=Nom|Gender=F|Number=Sg|Nounbase=Free	14	obj	_	ma-da-tu₂
2	ša	ša	ADP	DET	_	3	case	_	ša₂
3	{m}x	_	PROPN	u	_	1	nmod	_	{m}x
4	hurāṣī	hurāṣu	NOUN	N	Nounbase=Free|Number=Pl|Gender=M	1	appos	_	KU₃.GI.MEŠ
5	annakī	annaku	NOUN	N	Nounbase=Free|Number=Pl|Gender=M	4	conj	_	AN.NA.MEŠ
6	erî	werû	NOUN	N	Nounbase=Free|Number=Pl|Gender=M	4	conj	_	URUDU.MEŠ
7	parzillī	parzillu	NOUN	N	Gender=M|Number=Pl	4	conj	_	AN.BAR.MEŠ
8	x	_	_	u	_	_	_	_	x
9	taphi	taphu	NOUN	N	Case=Gen|Nounbase=Free|Number=Sg|Gender=M	4	conj	_	tap-hi
10	erî	_	NOUN	_	Case=Gen|Gender=M|Number=Sg|Nounbase=Free	9	nmod:poss	_	_
11	x.MEŠ	_	NOUN	u	Number=Pl	4	conj	_	x.MEŠ
12	erî	_	NOUN	_	Case=Gen|Gender=M|Number=Sg|Nounbase=Free	11	nmod:poss	_	_
13	x	_	_	u	_	_	_	_	x
14	amhur	mahāru	VERB	V	Verbstem=G|Number=Sg|Tense=Preterit|Mood=Indicative|Person=1	_	_	_	am-hur
